Employee ID,Employee Name,Department/Team,Designation/Role,Date of Joining,Current Employment Status,Total Work Duration (years),Leave Type,Leave Approval Status,Leave Frequency,Weekend Leaves (Sat/Sun Included?),Tasks Assigned,Tasks Completed on Time,Missed Deadlines,Employee Performance Score,Team Size,Active Employees in Team,Leaves in Team for Same Period,Skill Rating,Past Performance Reviews,Project Involvement,Total Leave Days (per month/year),Leave Impact on Work,Performance Rating
186104,Jared Obrien MD,4,5,15829,0,11.8,0,0,6,0,41,24.0,17.0,80.5,50,22,44.0,8.6,1.1,0,11,2,1.2
51367,Zachary Watkins,5,6,16061,0,11.2,3,0,0,0,75,68.0,7.0,93.7,28,22,21.0,8.1,2.4,2,16,1,3.0
416501,Ms. Jodi Levine MD,4,4,18840,0,3.6,4,1,2,0,43,5.0,38.0,75.1,30,4,0.0,6.1,3.8,0,2,2,2.7
138572,Brianna Morales,6,1,17012,0,8.6,3,0,3,1,35,34.0,1.0,54.7,9,3,0.0,5.0,3.6,1,25,0,1.1
327511,Krista Ellis,3,2,15634,1,12.1,0,2,10,0,96,91.0,5.0,99.8,12,4,8.0,2.5,3.6,1,30,0,4.0
107410,Teresa Andersen,1,7,16123,0,11.0,3,2,1,0,23,2.0,21.0,71.2,45,35,11.0,6.0,4.6,0,9,2,4.4
261982,Melissa Phillips,4,2,16279,0,10.6,0,2,7,0,42,10.0,32.0,64.0,25,3,24.0,1.6,4.1,0,3,0,4.8
759847,Aaron Mack,0,0,15404,1,3.7,3,0,7,1,18,8.0,10.0,99.5,42,41,0.0,8.8,2.5,0,24,2,2.3
462341,Andrea Walters,6,7,15579,0,12.5,1,2,6,0,94,18.0,76.0,69.2,14,7,11.0,8.8,4.1,1,13,0,1.8
316400,Michael Miller,5,0,15348,0,13.1,1,1,9,0,21,21.0,0.0,99.0,33,21,31.0,7.2,2.8,2,18,0,1.6
268976,James Hanson,4,4,14767,0,14.7,4,1,1,0,22,19.0,3.0,54.7,35,35,30.0,7.9,4.5,0,16,1,4.1
557429,Heather Byrd,5,6,16957,0,8.7,4,2,7,1,31,0.0,31.0,84.3,13,6,6.0,2.4,3.1,1,0,2,1.8
88132,Timothy Williams,4,4,16255,1,1.2,4,2,5,1,81,66.0,15.0,62.0,14,10,7.0,6.8,4.6,1,15,0,2.6
802137,Cheryl Long,3,5,15327,0,13.2,2,2,5,0,43,14.0,29.0,86.2,49,44,5.0,3.5,5.0,0,6,1,2.3
894068,Sharon Blair,5,3,19219,0,2.5,2,1,9,1,80,7.0,73.0,91.8,42,32,17.0,4.8,1.3,2,9,1,3.7
988174,Elizabeth Gibson,3,7,16949,1,8.6,1,1,1,1,32,12.0,20.0,97.0,31,17,21.0,3.2,3.3,1,10,2,5.0
259483,Deanna Brock,5,1,18932,0,3.3,0,1,9,0,30,30.0,0.0,94.0,44,16,0.0,8.3,1.8,2,16,0,3.5
748748,Marc Sandoval,4,0,16407,0,10.2,3,0,4,1,57,11.0,46.0,95.7,29,17,10.0,7.8,4.9,0,20,0,3.2
