Employee ID,Employee Name,Department/Team,Designation/Role,Date of Joining,Current Employment Status,Total Work Duration (years),Leave Date,Leave Type,Leave Approval Status,Leave Frequency,Weekend Leaves (Sat/Sun Included?),Tasks Assigned,Tasks Completed on Time,Missed Deadlines,Employee Performance Score,Team Size,Active Employees in Team,Leaves in Team for Same Period,Skill Rating,Past Performance Reviews,Project Involvement,Total Leave Days (per month/year),Leave Impact on Work,Performance Rating,Predicted Eligibility Score
186104,Jared Obrien MD,4,5,2013-05-04,0,11.8,2024-05-12,0,0,6,0,41,24,17,80.5,50,22,44,8.6,1.1,0,11,2,1.2,62
51367,Zachary Watkins,5,6,2013-12-22,0,11.2,2024-05-25,3,0,0,0,75,68,7,93.7,28,22,21,8.1,2.4,2,16,1,3,84
416501,Ms. Jodi Levine MD,4,4,2021-08-01,0,3.6,2024-06-09,4,1,2,0,43,5,38,75.1,30,4,0,6.1,3.8,0,2,2,2.7,52
138572,Brianna Morales,6,1,2016-07-30,0,8.6,2024-10-21,3,0,3,1,35,34,1,54.7,9,3,0,5,3.6,1,25,0,1.1,17
327511,Krista Ellis,3,2,2012-10-21,1,12.1,2024-09-12,0,2,10,0,96,91,5,99.8,12,4,8,2.5,3.6,1,30,0,4,81
107410,Teresa Andersen,1,7,2014-02-22,0,11,2024-02-21,3,2,1,0,23,2,21,71.2,45,35,11,6,4.6,0,9,2,4.4,51
261982,Melissa Phillips,4,2,2014-07-28,0,10.6,2024-01-08,0,2,7,0,42,10,32,64,25,3,24,1.6,4.1,0,3,0,4.8,35
759847,Aaron Mack,0,0,2012-03-05,1,3.7,2024-05-10,3,0,7,1,18,8,10,99.5,42,41,0,8.8,2.5,0,24,2,2.3,84
462341,Andrea Walters,6,7,2012-08-27,0,12.5,2024-08-10,1,2,6,0,94,18,76,69.2,14,7,11,8.8,4.1,1,13,0,1.8,48
316400,Michael Miller,5,0,2012-01-09,0,13.1,2024-09-22,1,1,9,0,21,21,0,99,33,21,31,7.2,2.8,2,18,0,1.6,85
268976,James Hanson,4,4,2010-06-07,0,14.7,2024-03-03,4,1,1,0,22,19,3,54.7,35,35,30,7.9,4.5,0,16,1,4.1,28
557429,Heather Byrd,5,6,2016-06-05,0,8.7,2024-05-05,4,2,7,1,31,0,31,84.3,13,6,6,2.4,3.1,1,0,2,1.8,62
88132,Timothy Williams,4,4,2014-07-04,1,1.2,2024-07-12,4,2,5,1,81,66,15,62,14,10,7,6.8,4.6,1,15,0,2.6,30
802137,Cheryl Long,3,5,2011-12-19,0,13.2,2024-05-25,2,2,5,0,43,14,29,86.2,49,44,5,3.5,5,0,6,1,2.3,70
894068,Sharon Blair,5,3,2022-08-15,0,2.5,2024-04-02,2,1,9,1,80,7,73,91.8,42,32,17,4.8,1.3,2,9,1,3.7,69
988174,Elizabeth Gibson,3,7,2016-05-28,1,8.6,2024-02-04,1,1,1,1,32,12,20,97,31,17,21,3.2,3.3,1,10,2,5,85
259483,Deanna Brock,5,1,2021-11-01,0,3.3,2024-06-07,0,1,9,0,30,30,0,94,44,16,0,8.3,1.8,2,16,0,3.5,75
748748,Marc Sandoval,4,0,2014-12-03,0,10.2,2024-02-10,3,0,4,1,57,11,46,95.7,29,17,10,7.8,4.9,0,20,0,3.2,84
576593,Stephen Hernandez,5,0,2014-04-29,0,10.8,2024-06-22,3,0,2,1,41,8,33,84.5,23,13,14,1.5,2.6,2,19,0,2.9,63
812102,Daniel Miles,5,1,2022-10-25,1,0.7,2024-01-09,2,0,4,1,53,24,29,50.3,30,30,15,5.9,4.4,0,2,0,2.2,14
136357,Christopher Lopez,0,4,2016-10-01,0,8.4,2024-06-01,3,2,3,1,26,26,0,63.7,27,22,13,3.3,4.1,0,8,2,2.6,33
990368,Cory Owen,0,7,2013-08-29,0,11.5,2024-01-23,4,0,6,0,34,6,28,52.8,44,36,30,1.9,2.4,2,18,1,3.1,15
156719,Kyle Russell,2,1,2017-12-06,0,7.2,2024-06-06,0,1,4,0,34,20,14,75.4,41,13,23,4.9,4.9,0,19,2,2,48
337384,Amanda Hamilton,2,7,2018-01-13,0,7.1,2024-03-27,2,1,2,0,27,23,4,58.5,22,4,15,6,4.7,1,11,2,2.6,25
717312,Bailey Rodriguez,5,6,2011-02-25,1,3.6,2024-01-28,1,0,2,1,32,29,3,69.8,13,9,3,1.3,3.3,2,13,2,1,39
403725,Donald Baker,5,6,2013-04-03,0,11.9,2024-10-11,4,1,5,0,46,2,44,61.9,22,15,9,2.3,4.3,2,8,0,2.3,30
709010,Matthew Johnson,6,1,2015-05-17,0,9.8,2024-10-14,3,0,10,1,57,17,40,77.6,40,25,16,6.6,1.1,1,0,1,5,58
427233,Brian Hoover,1,6,2012-08-13,0,12.5,2024-01-03,2,0,7,0,62,19,43,57.2,21,6,3,7.1,2.4,1,3,0,2.5,28
562875,Nancy Wilson,5,2,2010-01-09,0,15.1,2024-06-30,3,0,3,0,96,20,76,79.3,16,14,2,8.4,1.5,1,15,1,2.3,63
822672,Sherry Miller,0,7,2020-12-24,0,4.2,2024-02-17,1,0,9,0,22,3,19,65.1,42,10,3,6.6,3.1,1,30,2,3.3,28
401936,Stacey Keith,6,0,2016-08-09,0,8.5,2024-03-05,4,2,1,1,18,13,5,80.3,20,18,6,4.5,3.7,0,6,1,3.1,61
784271,Madison White,2,2,2016-05-11,0,8.8,2024-09-03,2,0,9,0,57,30,27,81.9,45,3,19,9.7,3.4,2,30,0,4.3,61
390949,Thomas Landry,5,4,2020-09-04,0,4.5,2024-12-11,2,2,5,0,91,40,51,79.9,9,3,3,5.5,4.4,0,9,0,4.6,57
859059,Bobby Mcintosh,6,3,2021-01-19,0,4.1,2024-04-09,1,2,10,0,69,61,8,60.7,48,39,8,2.7,2,0,4,1,2.9,21
657259,William Lewis,4,7,2013-04-05,0,11.9,2024-03-05,0,1,8,0,89,35,54,54.4,48,46,47,1.5,3,1,27,0,2.1,14
310101,Gloria Sanchez,5,0,2012-09-29,0,12.4,2024-01-22,1,0,2,0,93,26,67,89.7,17,10,8,9.6,3.6,2,17,0,1.5,79
572495,Allison Medina,1,1,2017-08-10,0,7.5,2024-11-22,0,1,3,0,23,16,7,89.5,50,36,23,8,3.6,0,15,1,3.5,76
619762,Mariah Scott,0,2,2014-01-18,1,8.8,2024-11-29,0,1,10,0,15,8,7,85.5,25,11,23,9.2,1,1,26,2,3.6,64
37658,Terry Alexander,2,7,2021-10-02,0,3.4,2024-07-23,1,2,7,1,30,2,28,85.5,20,14,7,6,1.4,1,28,1,3.9,59
405540,Mrs. Brittany Jones,6,1,2022-06-27,0,2.6,2024-03-26,4,0,7,0,99,94,5,99.9,49,34,0,6.7,4.9,1,16,0,3.6,83
557029,Michelle Goodwin,6,5,2013-09-09,0,11.4,2024-11-16,2,0,6,1,47,18,29,58.2,50,9,40,9.4,3.7,2,7,2,3.7,33
615191,David Kim,6,5,2011-04-20,1,12.3,2024-06-02,1,2,9,0,47,11,36,93.3,41,26,22,9.3,4.2,0,3,1,1.9,83
487042,Michael Ramsey,5,2,2015-02-24,1,3.4,2024-06-01,3,1,10,1,85,55,30,80.4,20,8,12,4.9,1,2,15,0,1.5,52
768504,Jennifer Austin,0,3,2017-10-10,0,7.4,2024-05-30,4,0,0,1,89,63,26,53.4,24,12,24,5.7,1.4,2,18,2,4.5,19
165339,Adrian Smith,3,5,2019-01-29,0,6.1,2024-12-11,1,1,5,1,49,4,45,98.1,44,2,1,7.7,4.1,1,14,0,3.2,85
947568,Jesse Perez,0,4,2020-08-28,1,4.1,2024-11-28,3,1,4,1,60,54,6,85.1,7,7,7,5.1,1.7,1,16,0,2.4,61
261060,Mr. Raymond Snyder,6,6,2011-11-06,0,13.3,2024-02-13,0,2,7,0,36,34,2,95.4,35,31,26,2.8,2.7,0,20,1,2.9,79
483574,John Pollard,6,7,2013-01-06,2,11.2,2024-07-31,0,0,3,0,84,53,31,66.7,39,13,8,6.8,4.5,2,19,0,1.4,41
349830,Christina Browning,6,5,2022-08-04,1,0.1,2024-07-01,4,0,8,1,23,9,14,56,13,8,8,1.7,4.2,0,1,2,3,15
77778,James Wilson,6,3,2015-05-24,0,9.7,2024-09-04,1,2,1,0,37,35,2,78.2,20,17,19,7.2,4.6,0,20,1,2.4,57
458782,Ryan Rodriguez,5,3,2020-09-24,0,4.4,2024-08-30,2,2,7,0,86,81,5,98.6,7,3,3,6.7,4.8,1,30,1,2.8,79
287237,Amy Cox,5,3,2021-11-05,0,3.3,2024-02-03,3,2,9,0,42,8,34,65.8,24,24,23,4.6,4.2,0,27,2,2.3,26
761523,Charles Bauer,3,5,2015-07-20,0,9.6,2024-08-17,0,1,5,0,26,20,6,84.4,6,5,6,6,4.8,1,26,0,1.8,62
467295,Christopher Gonzales,5,4,2015-05-24,0,9.7,2024-04-26,4,0,2,1,10,7,3,96.9,5,2,1,6.9,3.7,2,2,0,1.8,87
601870,Robert Padilla,3,0,2019-11-03,0,5.3,2024-10-14,2,2,0,1,28,15,13,82.7,29,11,10,9.6,2.5,2,4,2,4.3,69
843168,Jennifer Williams,5,6,2011-07-14,1,5.5,2024-10-15,4,1,8,1,21,14,7,60.5,10,4,9,9,3.9,1,2,2,4.8,34
156771,Tiffany Harris,3,5,2015-08-25,0,9.5,2024-01-27,4,2,6,1,59,14,45,75.1,44,23,35,5.4,2.1,1,0,0,2.7,53
125015,Marc Lynch,6,1,2016-09-24,0,8.4,2024-02-22,4,0,2,1,17,9,8,55.9,16,10,8,5.8,4,2,1,0,2,25
351227,Richard Williams,2,4,2018-11-01,2,1.6,2024-09-12,4,1,2,0,72,6,66,73.6,36,5,27,6.2,4.3,0,27,0,2.4,45
355392,Jennifer Jackson,4,4,2014-08-18,0,10.5,2024-05-25,4,1,1,0,34,26,8,93.1,10,9,5,5.8,4.4,0,4,2,3.7,84
204021,Karen Copeland,2,2,2013-12-29,0,11.1,2024-06-08,3,2,6,1,93,67,26,92.7,19,10,18,8,4.6,1,3,2,4.7,85
167075,Maria Martinez,3,7,2020-05-23,0,4.7,2024-09-24,4,2,8,1,89,49,40,80,40,17,28,8.3,4,2,7,1,2.5,57
785592,Pamela Adams,6,4,2015-04-02,0,9.9,2024-11-23,3,1,7,0,40,11,29,82.4,12,9,9,7.9,4,2,29,2,4.9,61
760568,Andrew Johnson,1,7,2010-05-20,0,14.8,2024-03-26,0,2,1,0,10,0,10,58.6,45,2,26,6.3,4.5,1,13,1,3.3,33
906093,Tyler Pearson,0,0,2020-06-07,1,1.3,2024-03-01,3,1,6,0,31,24,7,77,26,15,3,6.7,2.8,0,2,2,1.3,51
982416,Amanda Gonzalez,0,3,2014-03-10,0,11,2024-08-19,4,1,10,0,92,37,55,96.5,33,19,1,4.6,1.9,2,8,2,2.9,82
